suicidal,Women's probiotic,way off the diet train! :(,Jarred back in wheelchair,Knackered,PMDD,dinner with friends,work + times square,fascial stretch therapy,felt blamed,fat,day at home,grilled cheese,Charlotte,Kalb,loneliness,think i miiiiiiight have recovered from christmas,Standing desk,tired,Bicarb on scalp,foccacia,No sleep at all,bike ride,sick leave,deep massage,Charcoal,Pataday,new job,exercise,melancholy,Off work,funeral,black tea,vomiting,raspberries,packing,linseed,not forgetful,Cleaning ,slept in,Nortriptyline,studied,jeff gone,stressed,got the job!,had a 21 hour sleep last night,intense bowel movements,hiking,Vyvanse,day after weights,played computer,had sex,Eyebright Complex,family time,JBR Launch ,singing,aerial hoop,ovulating,nauseated,Creatine,positive,more orientation,weeping,Foggy,group meeting,catered food,flat,time with friends ,food shop,might still be on the adrenaline run from christmas,grief,missed dinner,doctor appointment,feeling sick,Alcohol previous night,"very, very tired",7k steps,lots of gas,High temperature,cutting weight,jet lag,Migraine Diet,registrar's letter,stressful day,flu jab,tired afternoon,miserable ,Christmas,non-verbal,travel,Tiring,Daily walk,argument with claire,saw friends,no lunch,romantic anxiety,pizza,eyes hurt,Nasonex,vegan,"good times with friends, but bad times with food",Tian Ma Tou Tong - headache,Stayed on diet,Ondansetron,chiropractic,Stressed ,ate cheese-again,Blue,tramadol,floravit iron,farm work,pur-absorb iron,overdid it,Rain,strange,acupuncture,canned vegetable beef soup,fast food,still tired,good nights sleep,chuck's funeral,wanted to self injure,jetlag,Panamax,sore throat,bread,got drunk,decorated a cake,ate HORRIBLY over the weekend,migraine in evening,Sad,12K Steps,Nutrasea Fish Oil,Went to work,unproductive,gaming,alcohol,Zofran,dr appointment,training sucked,must have needed it,Vitamin B complex - 50,posted story,grapes,Spironolactone,Sleeping pills ,hot and humid outside,abdominal pain after sex,Amtiriptyline earlier,ibs issues,Ventolin,cheese,Contraceptive pill,Bu Zhong Yi Qi capsules,fun at work,Adderall,Regular Day,cobb salad,feeling a burden,Sat in lounge all day,Played computer games ,language learning ,binge eating,painful,headache,job offer,wee to QE,time with husband,Mirtazapine,Chris round,anxiety,anaphylactic shock,depressed,boring,walked dog,smoked last night,cravings,good mental day,new job tomorrow,social anxiety,marijuana,day off,deadlifts,big sleep,training at work,tight throat,ate rice,Personal Record,bit of a better day,eggs,Gan Mao Qing anti-viral,lifting things,ate breakfast,new job!,proud,good sleep,tooth ache,pineapple,Normal work day,ugh,Stayed at home,saw a movie,Anna,skipped strattera,Prednisone,MDMA,dry eye,Buspirone,super tired from last night,DLPA,Big storm,ate tomatoes,Colouring,hyper japan,overeating,first day on the job,ate corn today,small group,clarytin works better than store brand,On feet,withdrawal,powerlifting,Moms birthday,slept 7 hours,slept all day,first day of work,midcycle,hypersexual,Turmeric tea,Dexedrine,nope,yardwork,Inderal,Vitamin C,Vitamin B,Probiotics,jog,Pain management,fulfilled,Vitamin a,Vitamin d,peanut butter,first full day at work,Had to leave work,saw Chris,vascular consultant,Clonazepam,Sewing,DONE being addicted to food,"ate tomatoes, rice, cheese and wine this weekend (wine Fri) all others today",hopefully a long sleep tonight will end it anyway,Bloated,Psychotherapy ,nre,Zoladex,Guilt,Multivitamin,saw a friend,loved work!,volunteer,noise sensitivity,Went climbing,Ibuprofen,left the house,romantic rejection,blah,dizzy,reading and relaxing,aches,Ecural,too much information meant i couldn't sleep,heartbreak,Valerian,High temperarure,breakdown,less caffeine,social,Codeine,deja vu,bullying,Voltaren,Iron,stomach pain,catheter,Spoke to parents ,Ferrous sulfate,Wei Te Ling - heartburn,hyperventilation,Gui Pi Pills,better mood too,Multi-vitamin,sleepy,Guilt ,Aching ,Soluble Aspirin,no dinner,Turmeric,Good morning,Post flare,Kirkland Fish Oil,emotional day,failed lift,Physiotherapy,Magnesium,unpleasant pooh,intentional living,went to library,Dog had seizures,worked in studio,physiotherapy,come down,in pain,urine infection,had therapy,lara bars are BAD,Valdoxan,saw doctor,scared,Fentanyl,Poorly ,food hangover,heartache,Yin Chiao,no sleep,Turned compost,ate rice last night,Low-FODMAP diet,Flare,Superlong nap,zombie,caved on dairy again,ate salsa,flu shot,Busy yesterday,computer game,respiratory infection,bad pain day,swimming,pissed off,Nauseated ,Omeprazole,Magnesium gel,weepy,unfocused,frustration,bored,play reading,happy,had coffee,Morphine,gluten,bit hard to tell though,SAD light,relaxed,job interview,Valium,rejection,asked for help,tingly throat,social gathering,Symptoms made worse by activity,emotional,body aches,Knackered ,bike accident,Hungry ,exhausted,Inolaxol,night energy,empty reservoir,Lithium,Iberogast,couldn't sleep because homework,yoga,chinese takeout,Wei Zhang Shun Qi Wan,back home,good conversation,sick,thirsty,Up late,tiring day at work,Progesterone,healthcare assessment,no work,Sugar reaction,bath with epsom salt,Lots of work,walked,Montelukast,stayed up late
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,2.0,0.0,,2.0,,2.0,0.0,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,2.0,0.0,,2.0,,2.0,0.0,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,2.0,0.0,,2.0,,2.0,0.0,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,2.0,0.0,,2.0,,2.0,0.0,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,0.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,
,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,2.0,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,0.0,,,0.0
,2.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.294232155615,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.294232155615,0.0,,,,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,0.0,,2.0,,,,0.0,0.0,2.0,2.0,,2.0,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.148613663944,2.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0,,,2.0,,2.0,2.0,,,2.0,,2.0,2.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0735213099422,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,0.0,0.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,2.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,0.0,2.0,0.0,,0.0,,,,,
,2.0,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,0.0,,2.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,2.0,0.0,,2.0,,2.0,0.0,0.0,,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,0.0,,,0.0,,2.0,,0.0,,0.0,2.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,2.0,,,,,2.0,2.0,,,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,,,,0.0,,2.0,0.0,,,,2.0,,0.0,2.0,2.0,,,,,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,2.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,2.0,,,0.0,,,0.0,,,,,,2.0,0.0,,0.0,,,,,
,0.0,,,,2.0,,,2.0,2.0,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,2.0,,2.0,,0.0,,,2.0,,,,2.0,,,,2.0,,,2.0,,,0.0,2.0,,0.0,,0.0,2.0,2.0,,,2.0,0.0,,0.0,2.0,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,2.0,,,2.0,,0.0,,2.0,,2.0,0.0,,2.0,,0.0,,,0.0,,,,2.0,2.0,0.0,,,0.0,,,2.0,2.0,,,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,,,,,2.0,,,2.0,,,2.0,2.0,,2.0,,2.0,,,,,,,2.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,0.0,2.0,2.0,,,,,2.0,,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,,,,2.0,,0.0,2.0,,,,0.0,,2.0,0.0,0.0,,,,,,2.0,2.0,,2.0,,,0.0,,,,,,2.0,,,2.0,,,,2.0,2.0,,,,,2.0,2.0,,,2.0,,,0.0,,2.0,2.0,,2.0,,,,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,2.0,0.0,,,2.0,,,2.0,,,,,,0.0,2.0,,2.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,2.0,,,,,,,,,2.0,2.0,2.0,,,,,,2.0,,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,0.0,,,,2.0,,,,0.0,,,,,,,,,,2.0,,,,2.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,
,0.0,,,,2.0,,,2.0,2.0,2.0,,,,,2.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,,,2.0,,,2.0,,,,,,2.0,,2.0,,0.0,,,2.0,,,,2.0,,,,2.0,,,2.0,,,0.0,2.0,,0.0,,0.0,2.0,2.0,,,2.0,0.0,,0.0,2.0,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,2.0,,,2.0,,0.0,,2.0,,2.0,0.0,,2.0,,0.0,,,0.0,,,,2.0,2.0,0.0,,,0.0,,,2.0,2.0,,,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,,,,,2.0,,,2.0,,,2.0,2.0,,2.0,,2.0,,,,,,,2.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,0.0,2.0,,,2.0,,,,,2.0,2.0,2.0,2.0,,,,,2.0,2.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,2.0,2.0,2.0,,,,,,2.0,2.0,0.0,2.0,0.0,,,2.0,2.0,2.0,0.0,2.0,2.0,,,,,2.0,,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,,,,2.0,,0.0,2.0,,,,0.0,,2.0,0.0,0.0,,,,,,2.0,2.0,,2.0,,,0.0,,,,,,2.0,,,2.0,,,,2.0,2.0,,,,,2.0,2.0,,,2.0,,,0.0,,2.0,2.0,,2.0,,,,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,2.0,0.0,,,2.0,,,2.0,,,,,,0.0,2.0,,2.0,,,,,
